tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0006a-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0001a-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007c-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009d-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0006a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0013a-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007h-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0020a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007h-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0020b-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007a-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0016d-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008a-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0013a-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002e-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0016e-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002c-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0001b-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007h-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004b-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0014d-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009c-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0015b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007f-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012a-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0005a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008c-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004a-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0020a-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010c-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0016c-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008b-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008b-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012c-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010b-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008c-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009a-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0000-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008a-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004a-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010c-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008c-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007g-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0011b-json
