id;CARML
RMLTC0007a-MySQL;NOT SUPPORTED
RMLTC0007a-PostgreSQL;NOT SUPPORTED
RMLTC0007a-SPARQL;NOT SUPPORTED
RMLTC0007a-SQLServer;NOT SUPPORTED
RMLTC0007a-XML;PASSED
RMLTC0007b-CSV;FAILED
RMLTC0007b-JSON;FAILED
RMLTC0007b-MySQL;NOT SUPPORTED
RMLTC0007b-PostgreSQL;NOT SUPPORTED
RMLTC0007b-SPARQL;NOT SUPPORTED
RMLTC0007b-SQLServer;NOT SUPPORTED
RMLTC0007b-XML;FAILED
RMLTC0007c-CSV;PASSED
RMLTC0007c-JSON;PASSED
RMLTC0007c-MySQL;NOT SUPPORTED
RMLTC0007c-PostgreSQL;NOT SUPPORTED
RMLTC0007c-SPARQL;NOT SUPPORTED
RMLTC0007c-SQLServer;NOT SUPPORTED
RMLTC0007c-XML;PASSED
RMLTC0007d-CSV;PASSED
RMLTC0007d-JSON;PASSED
RMLTC0007d-MySQL;NOT SUPPORTED
RMLTC0007d-PostgreSQL;NOT SUPPORTED
RMLTC0007d-SPARQL;NOT SUPPORTED
RMLTC0007d-SQLServer;NOT SUPPORTED
RMLTC0007d-XML;PASSED
RMLTC0007e-CSV;FAILED
RMLTC0007e-JSON;FAILED
RMLTC0007e-MySQL;NOT SUPPORTED
RMLTC0007e-PostgreSQL;NOT SUPPORTED
RMLTC0007e-SPARQL;NOT SUPPORTED
RMLTC0007e-SQLServer;NOT SUPPORTED
RMLTC0007e-XML;FAILED
RMLTC0007f-CSV;FAILED
RMLTC0007f-JSON;FAILED
RMLTC0007f-MySQL;NOT SUPPORTED
RMLTC0007f-PostgreSQL;NOT SUPPORTED
RMLTC0007f-SPARQL;NOT SUPPORTED
RMLTC0007f-SQLServer;NOT SUPPORTED
RMLTC0007f-XML;FAILED
RMLTC0007g-CSV;FAILED
RMLTC0007g-JSON;FAILED
RMLTC0007g-MySQL;NOT SUPPORTED
RMLTC0007g-PostgreSQL;NOT SUPPORTED
RMLTC0007g-SPARQL;NOT SUPPORTED
RMLTC0007g-SQLServer;NOT SUPPORTED
RMLTC0007g-XML;FAILED
RMLTC0007h-CSV;FAILED
RMLTC0007h-JSON;FAILED
RMLTC0007h-MySQL;NOT SUPPORTED
RMLTC0007h-PostgreSQL;NOT SUPPORTED
RMLTC0007h-SPARQL;NOT SUPPORTED
RMLTC0007h-SQLServer;NOT SUPPORTED
RMLTC0007h-XML;FAILED
RMLTC0008a-CSV;FAILED
RMLTC0008a-JSON;FAILED
RMLTC0008a-MySQL;NOT SUPPORTED
RMLTC0008a-PostgreSQL;NOT SUPPORTED
RMLTC0008a-SPARQL;NOT SUPPORTED
RMLTC0008a-SQLServer;NOT SUPPORTED
RMLTC0008a-XML;FAILED
RMLTC0008b-CSV;PASSED
RMLTC0008b-JSON;PASSED
RMLTC0008b-MySQL;NOT SUPPORTED
RMLTC0008b-PostgreSQL;NOT SUPPORTED
RMLTC0008b-SPARQL;NOT SUPPORTED
RMLTC0008b-SQLServer;NOT SUPPORTED
RMLTC0008b-XML;PASSED
RMLTC0008c-CSV;PASSED
RMLTC0008c-JSON;PASSED
RMLTC0008c-MySQL;NOT SUPPORTED
RMLTC0008c-PostgreSQL;NOT SUPPORTED
RMLTC0008c-SPARQL;NOT SUPPORTED
RMLTC0008c-SQLServer;NOT SUPPORTED
RMLTC0008c-XML;PASSED
RMLTC0009a-CSV;PASSED
RMLTC0009a-JSON;PASSED
RMLTC0009a-MySQL;NOT SUPPORTED
RMLTC0009a-PostgreSQL;NOT SUPPORTED
RMLTC0009a-SPARQL;NOT SUPPORTED
