tester,platform,source,testid,result
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0006a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007c-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007d-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007e-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007f-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007g-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0007h-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0008a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0008b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0008c-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0009a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0009b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0010a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0010b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0010c-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0011b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0012a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0012b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0012c-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0012d-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0013a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0015a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0015b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0019a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0019b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0020a-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,json,RMLTC0020b-JSON,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0000-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0001a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0001b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0002a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0002b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0002c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0002e-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0003c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0004a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0004b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0005a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0006a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007d-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007e-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007f-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007g-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0007h-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0008a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0008b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0008c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0009a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0009b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0010b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0010c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0011b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0012a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0012b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0012c-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0012d-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0015a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0015b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0019a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0019b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0020a-XML,passed
Julián Arenas-Guerrero,Morph-KGC,xml,RMLTC0020b-XML,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0000-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0001a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0001b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002e-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002f-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002g-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002h-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002i-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0002j-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0003a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0003b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0003c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0004a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0004b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0005a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0005b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0006a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007e-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007f-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007g-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0007h-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0008a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0008b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0008c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0009a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0009b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0009c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0009d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0010a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0010b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0010c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0011a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0011b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0012a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0012b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0012c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0012d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0012e-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0013a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0014d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0015a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0015b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0016a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0016b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0016c-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0016d-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0016e-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0018a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0019a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0019b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0020a-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,postgresql,RMLTC0020b-PostgreSQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0000-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0001a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0001b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002e-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002f-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002g-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002h-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002i-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0002j-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0003a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0003b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0003c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0004a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0004b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0005a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0005b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0006a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007e-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007f-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007g-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0007h-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0008a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0008b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0008c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0009a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0009b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0009c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0009d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0010a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0010b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0010c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0011a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0011b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0012a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0012b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0012c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0012d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0012e-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0013a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0014d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0015a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0015b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0016a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0016b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0016c-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0016d-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0016e-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0018a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0019a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0019b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0020a-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,mysql,RMLTC0020b-MySQL,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0000-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0001a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0001b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002e-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002f-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002g-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002h-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002i-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0002j-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0003a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0003b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0003c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0004a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0004b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0005a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0005b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0006a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007e-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007f-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007g-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0007h-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0008a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0008b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0008c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0009a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0009b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0009c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0009d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0010a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0010b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0010c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0011a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0011b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0012a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0012b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0012c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0012d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0012e-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0013a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0014d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0015a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0015b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0016a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0016b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0016c-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0016d-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0016e-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0018a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0019a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0019b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0020a-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sqlserver,RMLTC0020b-SQLServer,passed
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0000-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0001a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0001b-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0002a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0002b-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0002h-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0003c-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0004a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0004b-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0006a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007b-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007c-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007d-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007e-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007f-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007g-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0007h-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0008a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0008b-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0008c-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0009a-SPARQL,inapplicable
Julián Arenas-Guerrero,Morph-KGC,sparql,RMLTC0009b-SPARQL,inapplicable
