testid,result
RMLTC0001a-JSON,passed
RMLTC0012e-SQLServer,failed
RMLTC0002a-PostgreSQL,passed
RMLTC0010c-JSON,passed
RMLTC0010b-PostgreSQL,passed
RMLTC0012c-MySQL,passed
RMLTC0004b-SQLServer,passed
RMLTC0000-SQLServer,passed
RMLTC0002e-XML,passed
RMLTC0019b-XML,passed
RMLTC0015a-XML,passed
RMLTC0001b-CSV,passed
RMLTC0003c-SPARQL,passed
RMLTC0016d-MySQL,passed
RMLTC0012a-MySQL,passed
RMLTC0019b-PostgreSQL,passed
RMLTC0003c-XML,passed
RMLTC0004b-SPARQL,passed
RMLTC0015b-SQLServer,passed
RMLTC0002a-SPARQL,passed
RMLTC0012a-SPARQL,passed
RMLTC0012d-PostgreSQL,passed
RMLTC0007d-SPARQL,passed
RMLTC0005b-PostgreSQL,passed
RMLTC0012c-JSON,passed
RMLTC0000-XML,passed
RMLTC0009b-SQLServer,passed
RMLTC0019a-XML,passed
RMLTC0015b-XML,passed
RMLTC0002e-MySQL,passed
RMLTC0002a-SQLServer,passed
RMLTC0001a-CSV,passed
RMLTC0002g-JSON,passed
RMLTC0007h-SPARQL,passed
