tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012b-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007f-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002b-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012e-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0011b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002e-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007e-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010b-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003a-MySQL
