tester,platform,testid
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0012b-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009a-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0001a-XML
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0015b-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0019a-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0000-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0004a-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0010a-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002j-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0020b-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007d-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007c-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0000-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0018a-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0003c-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002e-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007a-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002e-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009a-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007b-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0019a-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009a-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002b-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0016d-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0012a-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0015a-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0001b-XML
